回答ID,回答日,拠点名,接客対応_評価,接客対応_コメント,清潔さ_評価,清潔さ_コメント,設備_評価,設備_コメント,対応スピード_評価,対応スピード_コメント,総合満足度_評価,総合満足度_コメント
R00250,2026-08-18,千葉店,3,,5,店内がとても清潔で気持ちよかったです,,,5,案内が早くて助かりました,4,家族にもすすめたいです
R00251,2026-08-14,千葉店,3,普通の対応でした,5,,2,駐車場が狭くて停めにくかったです,4,案内が早くて助かりました,3,
R00252,2026-08-01,千葉店,4,,4,,4,,5,,5,
R00253,2026-08-08,千葉店,3,,3,清潔さは普通でした,5,,5,,5,家族にもすすめたいです
R00254,2026-07-06,新宿店,4,,4,,,,4,,5,また利用したいと思います
R00255,2026-07-28,新宿店,4,質問にすぐ答えてくれて助かりました,5,,3,,4,案内が早くて助かりました,5,家族にもすすめたいです
R00256,2026-07-22,新宿店,4,,4,清掃が行き届いていました,4,,5,,3,
R00257,2026-07-25,新宿店,5,,5,清掃が行き届いていました,3,設備は必要十分でした,2,,5,
R00258,2026-07-31,新宿店,4,,5,清掃が行き届いていました,4,駐車場が広くて停めやすかったです,4,,3,可もなく不可もなくという印象です
R00259,2026-07-10,新宿店,4,,5,,3,設備は必要十分でした,1,,5,期待以上のサービスでした
R00260,2026-07-22,新宿店,5,スタッフの対応がとても丁寧でした,4,清掃が行き届いていました,4,,5,,3,
R00261,2026-07-15,新宿店,4,スタッフの対応がとても丁寧でした,3,,5,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,4,
R00262,2026-07-25,新宿店,5,質問にすぐ答えてくれて助かりました,4,,5,設備が新しく快適でした,4,案内が早くて助かりました,4,
R00263,2026-07-16,新宿店,3,普通の対応でした,5,,2,,5,待ち時間が少なくスムーズでした,5,
R00264,2026-07-17,新宿店,5,質問にすぐ答えてくれて助かりました,5,,5,設備が新しく快適でした,3,待ち時間は許容範囲でした,4,期待以上のサービスでした
R00265,2026-07-27,新宿店,4,スタッフの対応がとても丁寧でした,4,,2,空調の効きが悪かったです,3,,4,家族にもすすめたいです
R00266,2026-08-09,新宿店,4,質問にすぐ答えてくれて助かりました,4,清掃が行き届いていました,5,設備が新しく快適でした,1,,4,
R00267,2026-08-14,新宿店,4,スタッフの対応がとても丁寧でした,,清潔さは普通でした,3,設備は必要十分でした,5,,4,
R00268,2026-08-06,新宿店,4,質問にすぐ答えてくれて助かりました,5,清掃が行き届いていました,,,2,,5,
R00269,2026-08-12,新宿店,5,笑顔で挨拶していただき気持ちよかったです,4,,5,,5,案内が早くて助かりました,5,家族にもすすめたいです
R00270,2026-08-18,新宿店,3,,5,店内がとても清潔で気持ちよかったです,3,,5,,5,
R00271,2026-08-13,新宿店,5,,5,店内がとても清潔で気持ちよかったです,5,,4,案内が早くて助かりました,4,家族にもすすめたいです
R00272,2026-08-15,新宿店,4,,3,清潔さは普通でした,4,,2,対応が遅く感じました,4,また利用したいと思います
R00273,2026-08-14,新宿店,5,質問にすぐ答えてくれて助かりました,4,,4,駐車場が広くて停めやすかったです,2,,4,期待以上のサービスでした
R00274,2026-07-19,渋谷店,4,笑顔で挨拶していただき気持ちよかったです,1,匂いが気になりました,5,駐車場が広くて停めやすかったです,2,,4,
R00275,2026-07-08,渋谷店,2,,3,,4,,4,案内が早くて助かりました,3,
R00276,2026-07-08,渋谷店,5,質問にすぐ答えてくれて助かりました,3,,2,,5,案内が早くて助かりました,3,
R00277,2026-07-22,渋谷店,3,,2,トイレの清掃が行き届いていませんでした,5,設備が新しく快適でした,,,5,
R00278,2026-07-22,渋谷店,1,,2,匂いが気になりました,4,,4,,1,期待外れでした
R00279,2026-07-08,渋谷店,4,,5,店内がとても清潔で気持ちよかったです,5,,3,,4,期待以上のサービスでした
R00280,2026-07-31,渋谷店,5,,1,床が汚れているのが気になりました,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,4,期待以上のサービスでした
R00281,2026-07-30,渋谷店,4,,5,,3,,1,,1,
R00282,2026-07-13,渋谷店,1,説明が分かりにくかったです,2,匂いが気になりました,5,設備が新しく快適でした,4,,4,
R00283,2026-08-12,渋谷店,4,笑顔で挨拶していただき気持ちよかったです,2,,5,,5,,4,
R00284,2026-08-11,渋谷店,5,,5,,5,,1,,3,可もなく不可もなくという印象です
R00285,2026-08-06,渋谷店,5,,5,,4,設備が新しく快適でした,5,,1,価格の割に満足度が低いと感じました
R00286,2026-08-06,渋谷店,5,,4,,2,空調の効きが悪かったです,4,,4,期待以上のサービスでした
R00287,2026-08-12,渋谷店,1,,3,清潔さは普通でした,1,空調の効きが悪かったです,5,,5,期待以上のサービスでした
R00288,2026-08-09,渋谷店,4,,3,,1,設備が古く感じました,5,待ち時間が少なくスムーズでした,5,家族にもすすめたいです
R00289,2026-08-02,渋谷店,5,,3,清潔さは普通でした,5,設備が新しく快適でした,1,待ち時間が長く感じました,4,期待以上のサービスでした
R00290,2026-08-11,渋谷店,2,説明が分かりにくかったです,3,清潔さは普通でした,4,,5,,5,
R00291,2026-08-03,渋谷店,4,質問にすぐ答えてくれて助かりました,4,清掃が行き届いていました,1,,4,待ち時間が少なくスムーズでした,,可もなく不可もなくという印象です
R00292,2026-08-15,渋谷店,2,挨拶がなく残念でした,5,清掃が行き届いていました,3,設備は必要十分でした,1,,1,
R00293,2026-08-13,渋谷店,1,,3,,3,,4,待ち時間が少なくスムーズでした,1,次は利用しないかもしれません
R00294,2026-08-02,渋谷店,4,,4,清掃が行き届いていました,4,設備が新しく快適でした,2,呼んでもなかなか来てもらえませんでした,5,期待以上のサービスでした
R00295,2026-08-15,渋谷店,5,,4,店内がとても清潔で気持ちよかったです,4,,3,,4,
R00296,2026-08-14,渋谷店,1,,2,トイレの清掃が行き届いていませんでした,1,,5,,1,価格の割に満足度が低いと感じました
R00297,2026-08-03,渋谷店,1,説明が分かりにくかったです,3,,4,,5,,5,期待以上のサービスでした
R00298,2026-08-14,渋谷店,5,,1,,5,設備が新しく快適でした,4,,4,
R00299,2026-07-05,横浜店,3,,4,,5,設備が新しく快適でした,4,待ち時間が少なくスムーズでした,,可もなく不可もなくという印象です
R00300,2026-07-29,横浜店,4,笑顔で挨拶していただき気持ちよかったです,4,清掃が行き届いていました,4,,4,案内が早くて助かりました,4,
R00301,2026-07-01,横浜店,4,スタッフの対応がとても丁寧でした,5,,4,,1,,3,可もなく不可もなくという印象です
R00302,2026-07-17,横浜店,4,,2,トイレの清掃が行き届いていませんでした,4,,1,,1,
R00303,2026-07-27,横浜店,5,,5,,2,,5,待ち時間が少なくスムーズでした,4,期待以上のサービスでした
R00304,2026-07-02,横浜店,1,,5,,3,,4,案内が早くて助かりました,5,
R00305,2026-07-25,横浜店,5,笑顔で挨拶していただき気持ちよかったです,1,,4,設備が新しく快適でした,5,待ち時間が少なくスムーズでした,4,また利用したいと思います
R00306,2026-07-27,横浜店,1,,5,,3,,1,,1,期待外れでした
R00307,2026-07-07,横浜店,5,スタッフの対応がとても丁寧でした,1,,1,,1,,1,
R00308,2026-07-22,横浜店,1,,4,,3,,4,待ち時間が少なくスムーズでした,2,次は利用しないかもしれません
R00309,2026-07-26,横浜店,4,,4,,,,3,,2,期待外れでした
R00310,2026-07-08,横浜店,2,挨拶がなく残念でした,4,店内がとても清潔で気持ちよかったです,1,駐車場が狭くて停めにくかったです,3,,5,期待以上のサービスでした
R00311,2026-07-11,横浜店,5,笑顔で挨拶していただき気持ちよかったです,5,清掃が行き届いていました,2,駐車場が狭くて停めにくかったです,5,,1,
R00312,2026-07-05,横浜店,1,挨拶がなく残念でした,4,清掃が行き届いていました,2,,3,,5,また利用したいと思います
R00313,2026-07-24,横浜店,5,,5,,2,,5,案内が早くて助かりました,,可もなく不可もなくという印象です
R00314,2026-08-05,横浜店,,,4,,3,設備は必要十分でした,4,待ち時間が少なくスムーズでした,5,
R00315,2026-08-06,横浜店,3,普通の対応でした,2,,,,4,案内が早くて助かりました,5,
R00316,2026-08-01,横浜店,3,,,,,,3,待ち時間は許容範囲でした,4,
R00317,2026-08-14,横浜店,5,質問にすぐ答えてくれて助かりました,2,,2,,1,対応が遅く感じました,4,
R00318,2026-08-17,横浜店,3,,5,店内がとても清潔で気持ちよかったです,1,,3,待ち時間は許容範囲でした,5,
R00319,2026-08-17,横浜店,4,質問にすぐ答えてくれて助かりました,5,,5,,3,,4,
R00320,2026-08-11,横浜店,1,説明が分かりにくかったです,5,,4,設備が新しく快適でした,4,案内が早くて助かりました,1,
R00321,2026-08-15,横浜店,2,,4,,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,1,
R00322,2026-08-03,横浜店,3,,3,,5,駐車場が広くて停めやすかったです,4,案内が早くて助かりました,1,
R00323,2026-08-01,横浜店,4,,1,,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,5,
R00324,2026-08-06,横浜店,5,,5,,5,駐車場が広くて停めやすかったです,2,,5,
R00325,2026-08-18,横浜店,5,,5,,3,,1,,5,
R00326,2026-08-09,横浜店,4,,3,清潔さは普通でした,4,,,待ち時間は許容範囲でした,5,家族にもすすめたいです
R00327,2026-08-11,横浜店,5,,4,,1,,,待ち時間は許容範囲でした,3,
R00328,2026-08-14,横浜店,4,,5,店内がとても清潔で気持ちよかったです,1,駐車場が狭くて停めにくかったです,1,待ち時間が長く感じました,4,
R00329,2026-08-17,横浜店,1,,5,,2,,5,,5,
R00330,2026-08-11,横浜店,4,質問にすぐ答えてくれて助かりました,2,匂いが気になりました,5,,2,,5,期待以上のサービスでした
R00331,2026-07-03,川崎店,4,,3,,5,,4,案内が早くて助かりました,3,
R00332,2026-07-24,川崎店,5,質問にすぐ答えてくれて助かりました,4,,5,駐車場が広くて停めやすかったです,,,3,可もなく不可もなくという印象です
R00333,2026-07-28,川崎店,3,,1,,5,,5,待ち時間が少なくスムーズでした,4,家族にもすすめたいです
R00334,2026-07-21,川崎店,5,,3,清潔さは普通でした,5,,1,,4,
R00335,2026-07-21,川崎店,1,スタッフの対応が冷たく感じました,5,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,2,,5,期待以上のサービスでした
R00336,2026-07-25,川崎店,4,,5,清掃が行き届いていました,4,,5,案内が早くて助かりました,2,価格の割に満足度が低いと感じました
R00337,2026-07-27,川崎店,5,質問にすぐ答えてくれて助かりました,5,,5,設備が新しく快適でした,3,,4,期待以上のサービスでした
R00338,2026-07-17,川崎店,5,,5,清掃が行き届いていました,4,駐車場が広くて停めやすかったです,5,,5,家族にもすすめたいです
R00339,2026-07-25,川崎店,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,,,5,,5,
R00340,2026-07-04,川崎店,4,質問にすぐ答えてくれて助かりました,5,清掃が行き届いていました,5,,4,,3,
R00341,2026-07-30,川崎店,1,,4,,4,,4,,5,
R00342,2026-07-04,川崎店,3,,5,,5,駐車場が広くて停めやすかったです,3,,5,
R00343,2026-07-29,川崎店,4,,5,,4,,4,,5,
R00344,2026-08-03,川崎店,5,スタッフの対応がとても丁寧でした,4,,5,,5,,5,家族にもすすめたいです
R00345,2026-08-15,川崎店,4,,4,店内がとても清潔で気持ちよかったです,3,,5,,,
R00346,2026-08-14,川崎店,4,,5,清掃が行き届いていました,5,,4,,5,
R00347,2026-08-13,川崎店,4,,4,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,5,,4,
R00348,2026-08-05,川崎店,5,,5,店内がとても清潔で気持ちよかったです,4,,3,待ち時間は許容範囲でした,4,また利用したいと思います
R00349,2026-08-16,川崎店,4,質問にすぐ答えてくれて助かりました,5,,4,,5,案内が早くて助かりました,3,可もなく不可もなくという印象です
R00350,2026-08-14,川崎店,3,普通の対応でした,5,清掃が行き届いていました,3,設備は必要十分でした,5,,5,
R00351,2026-08-13,川崎店,4,,4,,4,駐車場が広くて停めやすかったです,5,,5,
R00352,2026-08-04,川崎店,3,特に問題はありませんでした,2,匂いが気になりました,4,,4,,4,また利用したいと思います
R00353,2026-08-14,川崎店,3,,,,4,設備が新しく快適でした,2,対応が遅く感じました,3,可もなく不可もなくという印象です
R00354,2026-08-13,川崎店,3,特に問題はありませんでした,5,,3,,2,待ち時間が長く感じました,3,可もなく不可もなくという印象です
R00355,2026-08-06,川崎店,5,,3,,4,,5,,4,また利用したいと思います
R00356,2026-07-18,新潟店,3,,4,,3,設備は必要十分でした,2,呼んでもなかなか来てもらえませんでした,1,
R00357,2026-07-19,新潟店,4,,5,,4,駐車場が広くて停めやすかったです,5,,2,期待外れでした
R00358,2026-07-22,新潟店,3,,2,匂いが気になりました,5,設備が新しく快適でした,4,案内が早くて助かりました,2,期待外れでした
R00359,2026-07-22,新潟店,1,挨拶がなく残念でした,2,,4,,4,案内が早くて助かりました,4,
R00360,2026-07-31,新潟店,5,,3,清潔さは普通でした,5,,2,呼んでもなかなか来てもらえませんでした,1,
R00361,2026-07-07,新潟店,5,,4,,5,,4,,4,
R00362,2026-07-19,新潟店,4,,5,,5,設備が新しく快適でした,2,,3,可もなく不可もなくという印象です
R00363,2026-07-06,新潟店,2,説明が分かりにくかったです,5,店内がとても清潔で気持ちよかったです,4,,4,,,
R00364,2026-07-02,新潟店,1,,1,,5,設備が新しく快適でした,5,,4,
R00365,2026-08-07,新潟店,3,,4,店内がとても清潔で気持ちよかったです,4,設備が新しく快適でした,3,,5,家族にもすすめたいです
R00366,2026-08-02,新潟店,5,笑顔で挨拶していただき気持ちよかったです,4,,2,空調の効きが悪かったです,4,,5,
R00367,2026-08-13,新潟店,4,,1,,5,,1,,1,
R00368,2026-08-10,新潟店,3,,3,,5,駐車場が広くて停めやすかったです,3,待ち時間は許容範囲でした,5,
R00369,2026-08-05,新潟店,4,質問にすぐ答えてくれて助かりました,1,,1,設備が古く感じました,1,,2,期待外れでした
R00370,2026-08-14,新潟店,3,,5,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,3,,,
R00371,2026-08-12,新潟店,3,特に問題はありませんでした,4,,5,,4,,2,
R00372,2026-08-15,新潟店,5,質問にすぐ答えてくれて助かりました,4,清掃が行き届いていました,1,,5,,1,
R00373,2026-08-14,新潟店,4,,4,,3,,1,呼んでもなかなか来てもらえませんでした,4,
R00374,2026-08-12,新潟店,4,,4,,5,,,,2,期待外れでした
R00375,2026-08-01,新潟店,4,,4,,4,設備が新しく快適でした,4,,4,
R00376,2026-08-03,新潟店,4,,2,トイレの清掃が行き届いていませんでした,5,設備が新しく快適でした,2,対応が遅く感じました,5,期待以上のサービスでした
R00377,2026-08-13,新潟店,5,スタッフの対応がとても丁寧でした,4,,5,,2,対応が遅く感じました,5,期待以上のサービスでした
R00378,2026-08-12,新潟店,4,,5,,4,駐車場が広くて停めやすかったです,4,,5,期待以上のサービスでした
R00379,2026-07-02,富山店,3,,4,清掃が行き届いていました,3,設備は必要十分でした,2,呼んでもなかなか来てもらえませんでした,4,家族にもすすめたいです
R00380,2026-07-02,富山店,3,,3,,5,駐車場が広くて停めやすかったです,,,5,
R00381,2026-07-05,富山店,4,スタッフの対応がとても丁寧でした,4,,5,,5,,4,
R00382,2026-07-18,富山店,3,特に問題はありませんでした,5,店内がとても清潔で気持ちよかったです,4,,5,,3,可もなく不可もなくという印象です
R00383,2026-07-08,富山店,2,態度が悪いスタッフがいました,3,,4,設備が新しく快適でした,1,,1,価格の割に満足度が低いと感じました
R00384,2026-07-01,富山店,5,,5,,5,,5,,4,期待以上のサービスでした
R00385,2026-07-01,富山店,1,,4,清掃が行き届いていました,1,,3,待ち時間は許容範囲でした,4,家族にもすすめたいです
R00386,2026-07-20,富山店,5,,5,,5,駐車場が広くて停めやすかったです,5,,4,
R00387,2026-07-27,富山店,1,,5,,5,駐車場が広くて停めやすかったです,2,対応が遅く感じました,,
R00388,2026-07-30,富山店,4,スタッフの対応がとても丁寧でした,1,,5,,4,,5,家族にもすすめたいです
R00389,2026-07-30,富山店,3,普通の対応でした,5,清掃が行き届いていました,1,,5,待ち時間が少なくスムーズでした,4,
R00390,2026-07-30,富山店,4,,1,トイレの清掃が行き届いていませんでした,5,,4,案内が早くて助かりました,1,期待外れでした
R00391,2026-07-18,富山店,4,笑顔で挨拶していただき気持ちよかったです,2,トイレの清掃が行き届いていませんでした,5,駐車場が広くて停めやすかったです,4,,,可もなく不可もなくという印象です
R00392,2026-08-03,富山店,2,挨拶がなく残念でした,5,,3,,1,,5,
R00393,2026-08-06,富山店,3,普通の対応でした,3,,2,駐車場が狭くて停めにくかったです,5,待ち時間が少なくスムーズでした,4,
R00394,2026-08-06,富山店,5,スタッフの対応がとても丁寧でした,4,,4,設備が新しく快適でした,5,案内が早くて助かりました,3,
R00395,2026-08-07,富山店,5,,4,店内がとても清潔で気持ちよかったです,5,設備が新しく快適でした,5,,,
R00396,2026-08-10,富山店,5,スタッフの対応がとても丁寧でした,4,,4,駐車場が広くて停めやすかったです,4,待ち時間が少なくスムーズでした,4,また利用したいと思います
R00397,2026-08-04,富山店,3,特に問題はありませんでした,3,清潔さは普通でした,5,,5,案内が早くて助かりました,4,期待以上のサービスでした
R00398,2026-08-13,富山店,4,笑顔で挨拶していただき気持ちよかったです,5,店内がとても清潔で気持ちよかったです,4,,5,,1,期待外れでした
R00399,2026-08-01,富山店,5,,3,,5,駐車場が広くて停めやすかったです,,待ち時間は許容範囲でした,4,家族にもすすめたいです
R00400,2026-08-11,富山店,4,,4,店内がとても清潔で気持ちよかったです,5,,3,,5,期待以上のサービスでした
R00401,2026-07-25,金沢店,3,,1,匂いが気になりました,2,設備が古く感じました,4,,3,
R00402,2026-07-28,金沢店,4,,3,,3,,5,,1,
R00403,2026-07-18,金沢店,1,,2,トイレの清掃が行き届いていませんでした,2,,5,待ち時間が少なくスムーズでした,5,期待以上のサービスでした
R00404,2026-07-19,金沢店,4,,5,,1,空調の効きが悪かったです,1,,4,期待以上のサービスでした
R00405,2026-07-06,金沢店,4,質問にすぐ答えてくれて助かりました,4,清掃が行き届いていました,4,駐車場が広くて停めやすかったです,1,,3,可もなく不可もなくという印象です
R00406,2026-07-27,金沢店,2,,2,匂いが気になりました,5,,4,待ち時間が少なくスムーズでした,3,
R00407,2026-07-09,金沢店,4,質問にすぐ答えてくれて助かりました,3,清潔さは普通でした,3,,2,,3,
R00408,2026-07-15,金沢店,4,,5,,4,,1,,1,
R00409,2026-07-26,金沢店,5,質問にすぐ答えてくれて助かりました,4,,4,,1,待ち時間が長く感じました,1,
R00410,2026-07-18,金沢店,2,,2,,1,,1,,,可もなく不可もなくという印象です
R00411,2026-07-03,金沢店,2,態度が悪いスタッフがいました,5,清掃が行き届いていました,3,,1,,5,
R00412,2026-07-12,金沢店,1,,4,清掃が行き届いていました,3,,2,対応が遅く感じました,4,
R00413,2026-07-07,金沢店,2,,1,,5,設備が新しく快適でした,,,2,
R00414,2026-07-23,金沢店,1,,,,5,,3,,4,
R00415,2026-07-16,金沢店,5,質問にすぐ答えてくれて助かりました,3,清潔さは普通でした,5,,4,待ち時間が少なくスムーズでした,5,
R00416,2026-07-21,金沢店,3,,2,,1,設備が古く感じました,2,,1,次は利用しないかもしれません
R00417,2026-08-09,金沢店,4,,5,,4,,2,,4,
R00418,2026-08-18,金沢店,1,,5,,5,,2,呼んでもなかなか来てもらえませんでした,5,また利用したいと思います
R00419,2026-08-11,金沢店,2,,1,,4,駐車場が広くて停めやすかったです,2,,5,家族にもすすめたいです
R00420,2026-08-11,金沢店,5,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,4,,4,,4,
R00421,2026-08-08,金沢店,2,挨拶がなく残念でした,5,,1,,,,1,
R00422,2026-08-11,金沢店,5,スタッフの対応がとても丁寧でした,1,床が汚れているのが気になりました,5,,5,,4,
R00423,2026-08-06,金沢店,5,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,5,駐車場が広くて停めやすかったです,4,案内が早くて助かりました,2,
R00424,2026-08-05,金沢店,4,スタッフの対応がとても丁寧でした,4,,4,,4,,3,可もなく不可もなくという印象です
R00425,2026-08-10,金沢店,5,,2,,4,駐車場が広くて停めやすかったです,3,待ち時間は許容範囲でした,4,また利用したいと思います
R00426,2026-08-04,金沢店,4,,5,,1,,,,1,
R00427,2026-08-17,金沢店,4,,4,,1,,4,待ち時間が少なくスムーズでした,1,価格の割に満足度が低いと感じました
R00428,2026-08-10,金沢店,4,,3,,5,,1,,4,
R00429,2026-08-06,金沢店,4,,4,店内がとても清潔で気持ちよかったです,5,,4,,4,期待以上のサービスでした
R00430,2026-08-14,金沢店,2,,4,,5,設備が新しく快適でした,4,,1,期待外れでした
R00431,2026-07-07,福井店,5,,1,,1,駐車場が狭くて停めにくかったです,4,,1,価格の割に満足度が低いと感じました
R00432,2026-07-21,福井店,4,,5,清掃が行き届いていました,5,設備が新しく快適でした,1,,2,
R00433,2026-07-26,福井店,5,,3,,5,,2,対応が遅く感じました,5,また利用したいと思います
R00434,2026-07-02,福井店,3,,4,,5,,,,4,
R00435,2026-07-11,福井店,4,笑顔で挨拶していただき気持ちよかったです,4,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,4,,4,期待以上のサービスでした
R00436,2026-07-09,福井店,4,,2,床が汚れているのが気になりました,1,駐車場が狭くて停めにくかったです,1,,3,可もなく不可もなくという印象です
R00437,2026-07-01,福井店,5,,3,清潔さは普通でした,5,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,1,
R00438,2026-07-06,福井店,5,,1,トイレの清掃が行き届いていませんでした,4,,2,呼んでもなかなか来てもらえませんでした,,
R00439,2026-07-03,福井店,2,,1,匂いが気になりました,5,,2,,,可もなく不可もなくという印象です
R00440,2026-07-24,福井店,4,,4,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,,,1,
R00441,2026-07-26,福井店,4,,1,,1,,2,,4,
R00442,2026-07-19,福井店,1,,4,清掃が行き届いていました,5,,3,,3,可もなく不可もなくという印象です
R00443,2026-07-03,福井店,1,挨拶がなく残念でした,2,床が汚れているのが気になりました,3,,2,,4,家族にもすすめたいです
R00444,2026-07-01,福井店,5,,4,,4,,4,待ち時間が少なくスムーズでした,1,
R00445,2026-07-03,福井店,5,,4,清掃が行き届いていました,4,,1,,2,
R00446,2026-07-15,福井店,4,,1,床が汚れているのが気になりました,3,,,待ち時間は許容範囲でした,5,また利用したいと思います
R00447,2026-07-28,福井店,1,スタッフの対応が冷たく感じました,4,,5,駐車場が広くて停めやすかったです,1,,1,
R00448,2026-08-13,福井店,5,,5,店内がとても清潔で気持ちよかったです,5,設備が新しく快適でした,4,,4,
R00449,2026-08-08,福井店,5,,4,,4,,5,,5,
R00450,2026-08-02,福井店,3,,5,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,2,,4,家族にもすすめたいです
R00451,2026-08-14,福井店,2,,4,,3,,4,,4,家族にもすすめたいです
R00452,2026-08-15,福井店,3,,5,,2,駐車場が狭くて停めにくかったです,4,案内が早くて助かりました,4,
R00453,2026-08-03,福井店,5,,2,床が汚れているのが気になりました,4,,5,案内が早くて助かりました,4,また利用したいと思います
R00454,2026-08-01,福井店,5,,1,床が汚れているのが気になりました,5,駐車場が広くて停めやすかったです,4,,3,可もなく不可もなくという印象です
R00455,2026-08-08,福井店,3,,4,店内がとても清潔で気持ちよかったです,5,,2,待ち時間が長く感じました,5,期待以上のサービスでした
R00456,2026-08-16,福井店,4,,4,,3,設備は必要十分でした,5,案内が早くて助かりました,5,また利用したいと思います
R00457,2026-08-10,福井店,4,笑顔で挨拶していただき気持ちよかったです,5,清掃が行き届いていました,3,設備は必要十分でした,2,,4,
R00458,2026-08-17,福井店,1,,4,清掃が行き届いていました,4,,3,待ち時間は許容範囲でした,1,
R00459,2026-07-02,甲府店,4,質問にすぐ答えてくれて助かりました,4,,5,,2,呼んでもなかなか来てもらえませんでした,4,
R00460,2026-07-21,甲府店,,,5,,4,,3,待ち時間は許容範囲でした,4,
R00461,2026-07-01,甲府店,,,3,,5,設備が新しく快適でした,3,待ち時間は許容範囲でした,1,次は利用しないかもしれません
R00462,2026-07-10,甲府店,,,3,清潔さは普通でした,4,駐車場が広くて停めやすかったです,2,,5,
R00463,2026-07-20,甲府店,2,,5,,5,,5,,5,
R00464,2026-07-31,甲府店,4,,3,,2,,3,待ち時間は許容範囲でした,4,期待以上のサービスでした
R00465,2026-07-12,甲府店,5,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,2,設備が古く感じました,5,,3,
R00466,2026-07-13,甲府店,4,質問にすぐ答えてくれて助かりました,4,,5,設備が新しく快適でした,1,対応が遅く感じました,3,
R00467,2026-07-22,甲府店,2,,5,,,,2,,2,
R00468,2026-07-03,甲府店,2,,5,,2,設備が古く感じました,3,,3,
R00469,2026-07-14,甲府店,5,,2,,5,,4,待ち時間が少なくスムーズでした,5,
R00470,2026-07-04,甲府店,1,説明が分かりにくかったです,5,清掃が行き届いていました,1,,1,対応が遅く感じました,4,期待以上のサービスでした
R00471,2026-07-18,甲府店,5,スタッフの対応がとても丁寧でした,2,床が汚れているのが気になりました,4,駐車場が広くて停めやすかったです,5,,5,
R00472,2026-07-01,甲府店,4,,5,清掃が行き届いていました,,,5,,1,
R00473,2026-07-16,甲府店,5,,3,清潔さは普通でした,1,駐車場が狭くて停めにくかったです,1,呼んでもなかなか来てもらえませんでした,5,
R00474,2026-07-14,甲府店,,普通の対応でした,1,トイレの清掃が行き届いていませんでした,3,,4,案内が早くて助かりました,5,
R00475,2026-07-18,甲府店,4,スタッフの対応がとても丁寧でした,4,,4,,3,待ち時間は許容範囲でした,3,可もなく不可もなくという印象です
R00476,2026-08-07,甲府店,1,スタッフの対応が冷たく感じました,3,,4,,3,,2,期待外れでした
R00477,2026-08-07,甲府店,5,,2,,4,,3,待ち時間は許容範囲でした,3,
R00478,2026-08-07,甲府店,3,普通の対応でした,3,,4,,5,,5,
R00479,2026-08-08,甲府店,4,,3,清潔さは普通でした,2,,4,,,
R00480,2026-08-05,甲府店,5,,1,トイレの清掃が行き届いていませんでした,2,,5,,1,
R00481,2026-08-15,甲府店,5,,2,匂いが気になりました,4,駐車場が広くて停めやすかったです,2,,5,
R00482,2026-08-02,甲府店,3,,4,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,1,次は利用しないかもしれません
R00483,2026-08-16,甲府店,4,,4,清掃が行き届いていました,5,設備が新しく快適でした,4,案内が早くて助かりました,2,
R00484,2026-08-14,甲府店,1,,4,店内がとても清潔で気持ちよかったです,3,,4,,2,価格の割に満足度が低いと感じました
R00485,2026-08-14,甲府店,1,,2,,1,,2,,5,
R00486,2026-08-16,甲府店,4,質問にすぐ答えてくれて助かりました,1,匂いが気になりました,2,,4,,2,
R00487,2026-08-16,甲府店,1,,3,,1,,2,待ち時間が長く感じました,4,家族にもすすめたいです
R00488,2026-08-13,甲府店,2,,1,床が汚れているのが気になりました,4,,2,,2,
R00489,2026-08-03,甲府店,5,笑顔で挨拶していただき気持ちよかったです,2,トイレの清掃が行き届いていませんでした,,,5,,3,可もなく不可もなくという印象です
R00490,2026-08-11,甲府店,1,,5,,4,,4,,4,
R00491,2026-08-18,甲府店,3,,3,清潔さは普通でした,4,,5,案内が早くて助かりました,4,
R00492,2026-08-13,甲府店,2,説明が分かりにくかったです,2,床が汚れているのが気になりました,4,設備が新しく快適でした,2,待ち時間が長く感じました,2,
R00493,2026-07-12,長野店,4,,4,清掃が行き届いていました,4,,4,,4,
R00494,2026-07-20,長野店,2,態度が悪いスタッフがいました,4,清掃が行き届いていました,5,,1,,1,
R00495,2026-07-24,長野店,5,,2,,5,,3,,1,
R00496,2026-07-05,長野店,4,笑顔で挨拶していただき気持ちよかったです,4,,2,,3,,5,家族にもすすめたいです
R00497,2026-07-22,長野店,5,,1,,4,駐車場が広くて停めやすかったです,2,呼んでもなかなか来てもらえませんでした,4,
